# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	296
#@/user_id	57f66d0b-5542-4c76-bff3-5964d43b0cf8
a 	啊	c=3 d=2.74595 t=263
an 	安	c=1 d=1 t=38
ba 	吧	c=1 d=1 t=137
bang 	幫	c=1 d=1 t=50
bao xiao 	報銷	c=1 d=1 t=147
ben di 	本地	c=1 d=0.97531 t=296
bi jiao 	比較	c=2 d=1.99501 t=82
biao xiao 	表銷	c=1 d=1 t=146
bie ren 	別人	c=1 d=1 t=64
bu bian 	不變	c=1 d=1 t=296
bu duo 	不多	c=0 d=0.1 t=178
bu hao 	不好	c=1 d=1 t=177
bu jin qu 	不進去	c=1 d=1 t=45
bu shi 	不是	c=2 d=1.42419 t=148
bu shi qu gao 	不是去搞	c=1 d=1 t=149
bu xiang 	不想	c=0 d=0.1 t=54
bu xing 	不行	c=0 d=0.1 t=267
bu zhi dao 	不知道	c=1 d=1 t=113
ce shi 	測試	c=3 d=2.24139 t=274
ce shi shu ru fa 	測試輸入法	c=1 d=1 t=275
cha 	差	c=0 d=0.1 t=73
cha yi xia 	差一下	c=1 d=1 t=74
chang 	廠	c=1 d=1 t=159
cheng du 	程度	c=1 d=1 t=107
chong qi 	重啓	c=1 d=1 t=14
chu qu wan 	出去玩	c=0 d=0.1 t=294
da 	大	c=2 d=1.6157 t=155
da ban tian 	大半天	c=1 d=1 t=216
dai ma 	代碼	c=1 d=1 t=191
dao yan 	導演	c=1 d=1 t=148
de 	的	c=8 d=4.43225 t=292
dei 	得	c=1 d=1 t=217
deng lu 	登錄	c=1 d=1.08869 t=67
di zhi 	地址	c=1 d=0.985112 t=296
dian 	點	c=1 d=1 t=229
dian nao 	電腦	c=1 d=1 t=120
dong xi 	東西	c=1 d=1 t=215
dou 	都	c=0 d=0.1 t=43
dou deng lu 	都登錄	c=1 d=1 t=44
dou ke yi 	都可以	c=1 d=1 t=66
dou neng 	都能	c=0 d=0.1 t=159
dou neng qu 	都能去	c=1 d=1 t=160
duan 	斷	c=1 d=1 t=106
dui de 	對的	c=1 d=1 t=243
duo lv 	多慮	c=1 d=1 t=162
en 	恩	c=3 d=2.0563 t=290
fa 	發	c=1 d=1 t=201
fa piao 	發票	c=1 d=1 t=144
fen zhong 	分鐘	c=1 d=1 t=192
fu fei 	付費	c=1 d=1 t=254
fu li 	福利	c=1 d=1.09048 t=197
fu li hao 	福利好	c=1 d=1 t=178
fu wu 	服務	c=2 d=1.97045 t=140
fu wu qi 	服務器	c=3 d=2.51224 t=221
fu ze 	負責	c=0 d=0.1 t=47
fu ze de 	負責的	c=1 d=1 t=48
gan gen 	敢跟	c=1 d=1 t=59
gan jue 	感覺	c=2 d=1.60653 t=256
gang 	剛	c=0 d=0.1 t=122
gang gao hao 	剛搞好	c=1 d=1 t=123
gao 	搞	c=0 d=0.1 t=148
gao 	高	c=1 d=1.0956 t=204
gao hao 	搞好	c=0 d=0.160957 t=122
gao hao le 	搞好了	c=1 d=1 t=24
ge 	個	c=1 d=0.657566 t=248
geng xin 	更新	c=0 d=0.1 t=186
gong ji jin 	公積金	c=1 d=1 t=202
gong zi 	工資	c=1 d=1 t=195
google 	Google	c=1 d=1.1 t=293
gu ge 	谷歌	c=1 d=1 t=272
guan fang 	官方	c=1 d=1 t=76
guo nei 	國內	c=1 d=1 t=157
guo qi 	國企	c=1 d=1 t=176
hai ting 	還挺	c=0 d=0.1 t=290
hai ting hao yong 	還挺好用	c=1 d=1 t=291
hao 	好	c=1 d=1.08958 t=199
hao jiu 	好久	c=2 d=1.99501 t=219
hao shuang 	好爽	c=1 d=1 t=296
hao xiang 	好像	c=1 d=1 t=260
hao yong 	好用	c=0 d=0.1 t=290
hao zhe 	好着	c=1 d=1 t=185
hen 	很	c=1 d=1 t=33
hen bu cuo 	很不錯	c=2 d=1.99501 t=26
hen qiang 	很強	c=0 d=0.199501 t=53
hen qiang shi 	很強勢	c=1 d=1 t=54
hen qiang shi 	很強是	c=1 d=1 t=53
huan jing 	環境	c=1 d=1.03642 t=241
hui 	會	c=1 d=1 t=104
hui fu 	恢復	c=1 d=1 t=141
hun he 	混合	c=1 d=1 t=288
ji qian kuai 	幾千塊	c=2 d=1.99005 t=236
ji shu 	技術	c=0 d=0.1 t=151
jian duan 	尖端	c=0 d=0.1 t=151
jian duan ji shu 	尖端技術	c=1 d=1 t=152
jiao shou 	教授	c=1 d=1.05684 t=172
jiao shou zhe me 	教授這麼	c=1 d=1 t=60
jie 	傑	c=1 d=1 t=36
jie xi 	解析	c=0 d=0.1 t=128
jie xi xia 	解析下	c=1 d=1 t=129
jin cheng 	進程	c=1 d=1 t=92
jing guan 	經管	c=1 d=1 t=65
jiu 	久	c=2 d=1.81078 t=168
jiu 	就	c=1 d=1 t=169
jiu bu 	就不	c=0 d=0.1 t=195
jiu bu gao 	就不高	c=1 d=1 t=196
jiu ke yi 	久可以	c=1 d=1 t=167
jiu pao 	就跑	c=0 d=0.1 t=132
